nx,ny,nz,rho0,n_agents,steps_requested,steps_completed,seed,force_scheme,stable,stop_reason,raw_contact_detections,unique_contact_events,final_active_contacts,max_rho_observed,max_u_observed,max_agent_speed_pre_clamp_observed,agent_clamp_activation_count,agent_clamp_checks,agent_clamp_activation_frequency
100,100,100,4.55,60,100,100,20260705,trilinear,True,completed,9,7,0,4.599917496015516,0.03999809048809732,0.18008054684110875,0,6000,0.0
100,100,100,4.55,60,100,100,20260706,trilinear,True,completed,15,13,0,4.5923173779765785,0.02712529006089789,0.18317943143992094,0,6000,0.0
100,100,100,4.55,60,100,100,20260707,trilinear,True,completed,12,11,0,4.610526528519624,0.046355084732923976,0.28467536080739075,0,6000,0.0
100,100,100,4.55,60,100,100,20260708,trilinear,True,completed,9,8,0,4.59941096120466,0.027309178942543335,0.23018451671704604,0,6000,0.0
100,100,100,4.55,60,100,100,20260709,trilinear,True,completed,21,16,0,4.586283337713987,0.023740091363242483,0.17991120439446665,0,6000,0.0
100,100,100,4.55,60,100,100,20260710,trilinear,True,completed,8,7,0,4.594590428843356,0.03257710121425976,0.226846296153662,0,6000,0.0
100,100,100,4.55,60,100,100,20260711,trilinear,True,completed,17,15,0,4.601690713253011,0.02902772441709361,0.2781416669205028,0,6000,0.0
100,100,100,4.55,60,100,100,20260712,trilinear,True,completed,12,11,0,4.604789458305118,0.04294322706777981,0.28156007746239614,0,6000,0.0
100,100,100,4.55,60,100,100,20260713,trilinear,True,completed,8,8,0,4.59443076493011,0.027869812248989455,0.2178219086846059,0,6000,0.0
100,100,100,4.55,60,100,100,20260714,trilinear,True,completed,16,13,0,4.590002096695093,0.021090703743690573,0.21829040166739055,0,6000,0.0
100,100,100,4.55,60,100,100,20260715,trilinear,True,completed,16,15,0,4.588258254436078,0.02600860860256253,0.21111160963945272,0,6000,0.0
100,100,100,4.55,60,100,100,20260716,trilinear,True,completed,11,9,1,4.5960737596914445,0.03840526246118531,0.19336892215384438,0,6000,0.0
100,100,100,4.55,60,100,100,20260717,trilinear,True,completed,11,10,1,4.591947218895959,0.026018814522071904,0.2143039975225768,0,6000,0.0
100,100,100,4.55,60,100,100,20260718,trilinear,True,completed,12,12,0,4.599474466750104,0.03777246806385462,0.2865198852781031,0,6000,0.0
100,100,100,4.55,60,100,100,20260719,trilinear,True,completed,7,7,0,4.605075175796226,0.04233758650089961,0.2718550089253531,0,6000,0.0
100,100,100,4.55,60,100,100,20260720,trilinear,True,completed,14,11,0,4.592801780482697,0.028809040601244167,0.213755925702506,0,6000,0.0
100,100,100,4.55,60,100,100,20260721,trilinear,True,completed,9,9,0,4.597603070185337,0.02635450837213282,0.2206691322846613,0,6000,0.0
100,100,100,4.55,60,100,100,20260722,trilinear,True,completed,24,18,0,4.593654151083363,0.025829651252596394,0.25126066236760425,0,6000,0.0
100,100,100,4.55,60,100,100,20260723,trilinear,True,completed,8,8,0,4.595837028990577,0.03415366791524895,0.17629899751183237,0,6000,0.0
100,100,100,4.55,60,100,100,20260724,trilinear,True,completed,8,8,0,5.368766904802865,0.5073438689062979,5.878769462254176,97,6000,0.016166666666666666
