nx,ny,nz,rho0,n_agents,steps_requested,steps_completed,seed,force_scheme,stable,stop_reason,raw_contact_detections,unique_contact_events,final_active_contacts,max_rho_observed,max_u_observed,max_agent_speed_pre_clamp_observed,agent_clamp_activation_count,agent_clamp_checks,agent_clamp_activation_frequency
100,100,100,4.55,60,100,100,20260705,nearest,True,completed,10,8,0,4.6167974328170365,0.05590013826314992,0.2287758474966818,0,6000,0.0
100,100,100,4.55,60,100,100,20260706,nearest,True,completed,14,12,0,4.614959511971871,0.056393319512412596,0.23223376804495732,0,6000,0.0
100,100,100,4.55,60,100,100,20260707,nearest,True,completed,9,9,0,13.714646038476378,1.0000000000000002,22.31621263101183,98,6000,0.01633333333333333
100,100,100,4.55,60,100,100,20260708,nearest,True,completed,20,18,0,4.615188955671427,0.06380542238113268,0.28463486421051065,0,6000,0.0
100,100,100,4.55,60,100,100,20260709,nearest,True,completed,21,17,1,4.611447955364018,0.05587317035573533,0.228586872413442,0,6000,0.0
100,100,100,4.55,60,100,100,20260710,nearest,True,completed,14,13,1,4.616498305141646,0.0632829938285396,0.2809163156608388,0,6000,0.0
100,100,100,4.55,60,100,100,20260711,nearest,True,completed,13,12,0,8.879116914760584,1.0,14.060091559661261,97,6000,0.016166666666666666
100,100,100,4.55,60,100,100,20260712,nearest,True,completed,12,11,0,11.579362524408497,1.0,18.670456652138416,98,6000,0.01633333333333333
100,100,100,4.55,60,100,100,20260713,nearest,True,completed,9,9,0,4.614232953474798,0.0618677994553874,0.27086166668812794,0,6000,0.0
100,100,100,4.55,60,100,100,20260714,nearest,True,completed,26,18,0,4.615303899750608,0.06194137341652557,0.2713837215146212,0,6000,0.0
100,100,100,4.55,60,100,100,20260715,nearest,True,completed,16,14,0,4.614292266360594,0.06081269263776441,0.2633832498797452,0,6000,0.0
100,100,100,4.55,60,100,100,20260716,nearest,True,completed,10,8,0,4.610000338966956,0.05801078857004153,0.24360077623283455,0,6000,0.0
100,100,100,4.55,60,100,100,20260717,nearest,True,completed,9,7,0,4.618435212721129,0.061314957616430125,0.266941286667338,0,6000,0.0
100,100,100,4.55,60,100,100,20260718,nearest,True,completed,11,11,0,15.709639189859347,1.0000000000000002,25.722438624678503,98,6000,0.01633333333333333
100,100,100,4.55,60,100,89,20260719,nearest,False,rho_threshold_exceeded_at_step_88,41,11,3,20.512959989459514,1.0000000000000002,63.30351339807892,111,5340,0.020786516853932586
100,100,100,4.55,60,100,100,20260720,nearest,True,completed,15,11,0,4.618566065318841,0.061228767766523244,0.26633046863653503,0,6000,0.0
100,100,100,4.55,60,100,100,20260721,nearest,True,completed,12,12,0,4.615929911352048,0.062314758869081346,0.2740342767413525,0,6000,0.0
100,100,100,4.55,60,100,100,20260722,nearest,True,completed,22,16,0,11.531361976135576,1.0,18.588501125060983,96,6000,0.016
100,100,100,4.55,60,100,100,20260723,nearest,True,completed,10,9,0,4.614670296107185,0.05529748967690935,0.22455556999662238,0,6000,0.0
100,100,100,4.55,60,100,100,20260724,nearest,True,completed,5,5,0,8.66917353934805,1.0,13.70163690429938,98,6000,0.01633333333333333
