nx,ny,nz,rho0,n_agents,steps_requested,steps_completed,seed,force_scheme,stable,stop_reason,raw_contact_detections,unique_contact_events,final_active_contacts,max_rho_observed,max_u_observed,max_agent_speed_pre_clamp_observed,agent_clamp_activation_count,agent_clamp_checks,agent_clamp_activation_frequency
100,100,100,4.55,60,100,100,20260705,nearest,True,completed,14,12,2,4.596759267005964,0.04029267010431238,0.14235079693126546,0,6000,0.0
100,100,100,4.55,60,100,100,20260706,nearest,True,completed,11,11,1,4.5955449404787645,0.04067077572874709,0.14205182084941545,0,6000,0.0
100,100,100,4.55,60,100,100,20260707,nearest,True,completed,8,8,0,4.6006517361890165,0.052834118331990386,0.1685172654431683,0,6000,0.0
100,100,100,4.55,60,100,100,20260708,nearest,True,completed,8,8,0,4.597133432219603,0.046353387928099156,0.1420161910063325,0,6000,0.0
100,100,100,4.55,60,100,100,20260709,nearest,True,completed,19,16,0,4.593128427230638,0.04027199470862785,0.14201713548954778,0,6000,0.0
100,100,100,4.55,60,100,100,20260710,nearest,True,completed,11,11,0,4.596808779330041,0.04595285937111113,0.1419473872503503,0,6000,0.0
100,100,100,4.55,60,100,100,20260711,nearest,True,completed,14,13,0,4.602555510176205,0.052062376406370695,0.1633881418609082,0,6000,0.0
100,100,100,4.55,60,100,100,20260712,nearest,True,completed,15,14,0,4.600957098478282,0.052466319322192013,0.16607137629600674,0,6000,0.0
100,100,100,4.55,60,100,100,20260713,nearest,True,completed,11,11,1,4.596300488921439,0.04486787701836111,0.1421360048277231,0,6000,0.0
100,100,100,4.55,60,100,100,20260714,nearest,True,completed,17,13,0,4.597098392423889,0.04492428372190037,0.14197512996173256,0,6000,0.0
100,100,100,4.55,60,100,100,20260715,nearest,True,completed,14,11,0,4.596319289692318,0.04405896179151682,0.1419743140072635,0,6000,0.0
100,100,100,4.55,60,100,100,20260716,nearest,True,completed,14,14,0,4.592917453994338,0.04191083533959595,0.1419721645931273,0,6000,0.0
100,100,100,4.55,60,100,100,20260717,nearest,True,completed,7,7,0,4.598115492782782,0.04444403160849387,0.1419795826554006,0,6000,0.0
100,100,100,4.55,60,100,100,20260718,nearest,True,completed,11,11,0,4.601323869996219,0.053051743707514344,0.169965711730427,0,6000,0.0
100,100,100,4.55,60,100,100,20260719,nearest,True,completed,14,14,1,4.601525264505001,0.051318514321944675,0.15845531285941378,0,6000,0.0
100,100,100,4.55,60,100,100,20260720,nearest,True,completed,15,12,0,4.59828588874583,0.04437795272356526,0.14201226421320012,0,6000,0.0
100,100,100,4.55,60,100,100,20260721,nearest,True,completed,14,13,0,4.596311553334334,0.04521054590219314,0.14197693896658142,0,6000,0.0
100,100,100,4.55,60,100,100,20260722,nearest,True,completed,18,13,0,4.60074837065696,0.048872409103269274,0.1423128777996542,0,6000,0.0
100,100,100,4.55,60,100,100,20260723,nearest,True,completed,10,10,0,4.5952792753757175,0.03983063952152793,0.14205223623705265,0,6000,0.0
100,100,100,4.55,60,100,100,20260724,nearest,True,completed,9,9,0,4.607683030598312,0.059509580605040524,0.21333920423296657,0,6000,0.0
