outcome,model,term,coef_log,std_error,p_value,irr,irr_ci95_low,irr_ci95_high,aic,poisson_overdispersion_ratio
raw,poisson,Intercept,1.850804129696584,0.00785854603722583,0.0,6.3649356991039125,6.267651120287475,6.4637302996324495,17288.669186387124,2.1609041389215653
raw,poisson,n_agents_scaled,0.5005017840280414,0.007585299200798722,0.0,1.6495487802986444,1.625206477493045,1.6742556815193284,17288.669186387124,2.1609041389215653
raw,poisson,rho_scaled,-0.28331610295946497,0.0075211886830888,1.59524669786716e-310,0.7532816356670489,0.7422587611543173,0.7644682047953003,17288.669186387124,2.1609041389215653
raw,poisson,log_volume_scaled,-0.42994193824730104,0.007604266737423681,0.0,0.6505468655180114,0.6409229531488727,0.6603152877519223,17288.669186387124,2.1609041389215653
raw,poisson,n_agents_scaled:rho_scaled,-0.002377793570353892,0.007256546256077694,0.743156910116308,0.9976250311414736,0.9835366638605545,1.0119152028898164,17288.669186387124,2.1609041389215653
raw,poisson,n_agents_scaled:log_volume_scaled,-0.005272553015533976,0.007339096867847847,0.4724984389963497,0.9947413224949508,0.9805350189771053,1.0091534514608784,17288.669186387124,2.1609041389215653
raw,negative_binomial,Intercept,1.8455885891704553,0.01939354550601026,0.0,6.331825537767975,6.095665461076502,6.577134998095911,18817.698669670917,
raw,negative_binomial,n_agents_scaled,0.5217719613683222,0.019474176567448948,3.897049413124347e-158,1.6850107799298177,1.6219080692256567,1.7505685940851345,18817.698669670917,
raw,negative_binomial,rho_scaled,-0.2770970144653582,0.019528241063479806,1.063341306731599e-45,0.7579809584259746,0.7295176886840716,0.7875547670032848,18817.698669670917,
raw,negative_binomial,log_volume_scaled,-0.43201223777486963,0.019372652470117106,3.686116017959333e-110,0.6492014318555659,0.6250135566122892,0.6743253720891053,18817.698669670917,
raw,negative_binomial,n_agents_scaled:rho_scaled,-0.004758442962085135,0.019609750027255426,0.8082711268765709,0.9952528604915728,0.957726677768963,1.0342494151088146,18817.698669670917,
raw,negative_binomial,n_agents_scaled:log_volume_scaled,-0.01743023561168014,0.01945242978941718,0.37022919218005823,0.9827207921885996,0.9459587671420971,1.0209114698703565,18817.698669670917,
unique,poisson,Intercept,1.7339490029924767,0.00833206041791754,0.0,5.662972907484567,5.571244536710791,5.756211550146316,14973.854514960562,1.1515064053161057
unique,poisson,n_agents_scaled,0.5028373911061392,0.0080420175473876,0.0,1.6534059808045407,1.6275492021024947,1.679673544633072,14973.854514960562,1.1515064053161057
unique,poisson,rho_scaled,-0.26860764714864244,0.007941719203046491,9.255517120344512e-251,0.764443128257488,0.7526363289245932,0.7764351438829398,14973.854514960562,1.1515064053161057
unique,poisson,log_volume_scaled,-0.4377960207662257,0.00809023380151185,0.0,0.6454574293421347,0.6353034071649357,0.6557737427414683,14973.854514960562,1.1515064053161057
unique,poisson,n_agents_scaled:rho_scaled,-0.002524719226586633,0.007657714294175937,0.7416295329008751,0.9974784651965114,0.9826192550222492,1.0125623769791274,14973.854514960562,1.1515064053161057
unique,poisson,n_agents_scaled:log_volume_scaled,-0.010808644536945133,0.007808027487418231,0.166266924264597,0.9892495589723252,0.9742258754922379,1.0045049249307656,14973.854514960562,1.1515064053161057
unique,negative_binomial,Intercept,1.729367922656841,0.019589762479526155,0.0,5.637089705436845,5.424754764646341,5.857735828766759,18140.07014326063,
unique,negative_binomial,n_agents_scaled,0.5211319116679529,0.019674068104531352,1.323293555464997e-154,1.683932634355187,1.6202353990662475,1.7501340352646242,18140.07014326063,
unique,negative_binomial,rho_scaled,-0.2632747746032744,0.01971963602698525,1.1703550662965013e-40,0.768530695579071,0.7393938493083464,0.7988157199302572,18140.07014326063,
unique,negative_binomial,log_volume_scaled,-0.43852370219026865,0.01956719764985356,3.063160015773529e-111,0.6449879128107392,0.6207202976564685,0.6702042920822769,18140.07014326063,
unique,negative_binomial,n_agents_scaled:rho_scaled,-0.005710865896354986,0.019804394219013113,0.773068447783882,0.994305410100204,0.9564500000786398,1.0336591023819834,18140.07014326063,
unique,negative_binomial,n_agents_scaled:log_volume_scaled,-0.02285530543686584,0.019650746513175436,0.24479879686951744,0.9774038985721636,0.9404751423200821,1.0157827016962564,18140.07014326063,
